subj;trial;block;prior;kappa;ct;delay;fix;keypressed;R;T_Angle;resp_mod;choice_x;choice_y;init_resp_angle;choiceAngle;choiceR;RT;MT;ts_b;ts_f;ts_p;ts_d;ts_r;ts_e;m_pos_x;m_pos_y;m_clock
pilot6blocks;19;1;0;1;False;3000;True;;8;135.24805774091843;eye;L;-5.66125950217247;4.350977999344468;0;142.46;7.14;0.7841384999919683;0.7841944999527186;1684235750.8355336;1684235750.8478055;1684235751.6010025;1684235752.1022513;1684235755.099943;1684235755.8845017;[];[];[]
pilot6blocks;20;1;0;1;False;3000;True;;8;-125.63963166310653;eye;L;-5.0895097851753235;-7.001727850735187;0;-126.01;8.66;1.699940099962987;1.6999959000386298;1684235756.6391025;1684235756.6473072;1684235757.4012215;1684235757.9023316;1684235760.9173238;1684235762.617323;[];[];[]
pilot6blocks;21;1;0;1;False;1000;True;;8;-33.973052131875676;eye;L;6.561893999576569;-4.936534532904624;0;-36.95;8.21;1.014875499997288;1.0149651999818161;1684235763.3592618;1684235763.3628275;1684235764.1187432;1684235764.6202269;1684235765.6014338;1684235766.6159616;[];[];[]
pilot6blocks;22;1;0;1;False;1000;True;;8;51.231007504067954;eye;L;4.505195677280426;7.439300425350665;0;58.8;8.7;0.8989539999747649;0.8990452000871301;1684235767.3137465;1684235767.3299267;1684235768.0850022;1684235768.586286;1684235769.5672278;1684235770.466897;[];[];[]
pilot6blocks;23;1;0;1;False;3000;True;;8;-118.42210409859305;eye;L;-3.5929956436157227;-6.600849933922291;0;-118.56;7.52;3.216153600020334;3.216199900023639;1684235771.1204696;1684235771.129975;1684235771.8858159;1684235772.386154;1684235775.383548;1684235778.5999093;[];[];[]
pilot6blocks;24;1;0;1;False;1000;True;;8;22.610965870177818;eye;L;7.21463418006897;2.644128506630659;0;20.13;7.68;1.565620300010778;1.5656994000310078;1684235779.4267251;1684235779.4459743;1684235780.200995;1684235780.7020755;1684235781.6836884;1684235783.249051;[];[];[]
pilot6blocks;25;1;0;1;False;3000;False;;8;-82.76640270604737;eye;L;nan;nan;0;nan;nan;0.0023302999325096607;0.002402900019660592;1684235784.0895207;1684235784.0957773;1684235784.8501158;1684235785.352083;1684235788.3325684;1684235788.3347492;[];[];[]
pilot6blocks;25;1;0;1;False;3000;True;;8;53.92793621979886;eye;L;5.751239657402039;5.93126618899405;0;45.88;8.26;3.615773499943316;3.61582420009654;1684235788.9061148;1684235788.9121335;1684235789.700624;1684235790.2000728;1684235793.2164083;1684235796.8321576;[];[];[]
pilot6blocks;26;1;0;1;False;1000;True;;8;-117.61765970712416;eye;L;-2.471880406141281;-6.400044129788875;0;-111.12;6.86;0.8177050000522286;0.8177527999505401;1684235798.0700486;1684235798.0780642;1684235798.8325002;1684235799.3331523;1684235800.313899;1684235801.1307259;[];[];[]
pilot6blocks;27;1;0;1;False;3000;True;;8;73.58009056343445;eye;L;3.1991117000579834;8.154133597947656;0;68.58;8.76;1.4488789000315592;1.448929600068368;1684235801.8956316;1684235801.9126348;1684235802.6649785;1684235803.1670952;1684235806.1639662;1684235807.6130843;[];[];[]
